"polarityid";"tweetid";"entity";"type";"value"
"31493";"166532862932287489";;"AGREEMENT";"NONE"
"31494";"166536990077100035";;"AGREEMENT";"P+"
"31495";"166542544300294144";;"AGREEMENT";"NONE"
"31496";"166542975072083969";;"AGREEMENT";"P+"
"31497";"166542975072083969";"David";"AGREEMENT";"P+"
"31498";"166542975072083969";"Borja";"AGREEMENT";"P+"
"31499";"166542975072083969";"Moli";"AGREEMENT";"P+"
"31500";"166581229062324224";;"AGREEMENT";"P+"
"31501";"166586568176435200";;"AGREEMENT";"NONE"
"31502";"166594760302280705";;"AGREEMENT";"N"
"31503";"166594760302280705";"Rubalcaba";"AGREEMENT";"N"
"31504";"166600080776896512";;"AGREEMENT";"P+"
"31505";"166600080776896512";"@Hugo_Moran";"AGREEMENT";"P+"
"31506";"166600080776896512";"@PSOE";"AGREEMENT";"P+"
"31507";"166602702271426560";;"AGREEMENT";"P+"
"31508";"166603081134514176";;"AGREEMENT";"P"
"31509";"166626136753836032";;"AGREEMENT";"P"
"31510";"166628698114621440";;"AGREEMENT";"P+"
"31511";"166628698114621440";"@Fgarea";"AGREEMENT";"P"
"31512";"166634099996491777";;"AGREEMENT";"P"
"31513";"166634099996491777";"Ramón_Iribarren";"AGREEMENT";"P"
"31514";"166644758662488064";;"AGREEMENT";"N"
"31515";"166644758662488064";"DRM";"AGREEMENT";"N"
"31516";"166649399513055232";;"AGREEMENT";"NONE"
"31517";"166657149269843968";;"AGREEMENT";"N"
"31518";"166657149269843968";"Urdangarin";"AGREEMENT";"N"
"31519";"166659157825556481";;"AGREEMENT";"P"
"31520";"166659157825556481";"@EatsAndTwitts";"AGREEMENT";"P"
"31521";"166659157825556481";"Madrid";"AGREEMENT";"P"
"31522";"166659157825556481";"@HotelReginaMad";"AGREEMENT";"P"
"31523";"166659688799277056";;"AGREEMENT";"P+"
"31524";"166665433653592064";;"AGREEMENT";"NONE"
"31525";"166668285998407680";;"AGREEMENT";"P+"
"31526";"166668285998407680";"@David_Busta";"AGREEMENT";"P+"
"31527";"166675656237789184";;"AGREEMENT";"N"
"31528";"166675656237789184";"Alberto_Contador";"AGREEMENT";"N"
"31529";"166677583151378433";;"AGREEMENT";"P+"
"31530";"166678840733745152";;"DISAGREEMENT";"NEU"
"31531";"166762025974894592";;"AGREEMENT";"N"
"31532";"166762025974894592";"Odyssey";"AGREEMENT";"N"
"31533";"166762025974894592";"España";"AGREEMENT";"N"
"31534";"166779909618925568";;"AGREEMENT";"N+"
"31535";"166779909618925568";"Cornell_de_Llobregat";"AGREEMENT";"N"
"31536";"166779909618925568";"Barcelona";"AGREEMENT";"N"
"31537";"166781713853329408";;"AGREEMENT";"NONE"
"31538";"166784935372402688";;"AGREEMENT";"N+"
"31539";"166787468421640193";;"AGREEMENT";"N+"
"31540";"166793767834230784";;"DISAGREEMENT";"NEU"
"31541";"166793767834230784";"Contador";"DISAGREEMENT";"N"
"31542";"166795504246722560";;"AGREEMENT";"NONE"
"31543";"166795699214753792";;"AGREEMENT";"NONE"
"31544";"166796017893769216";;"AGREEMENT";"P+"
"31545";"166796017893769216";"Verónica_Echegui";"AGREEMENT";"P+"
"31546";"166796017893769216";"@Min_Absoluta";"AGREEMENT";"P+"
"31547";"166806016871239680";;"AGREEMENT";"NONE"
"31548";"166810290338545664";;"AGREEMENT";"NONE"
"31549";"166811319150977024";;"AGREEMENT";"P+"
"31550";"166811319150977024";"@El_Hormiguero";"AGREEMENT";"P+"
"31551";"166811319150977024";"@Carlos_Latre";"AGREEMENT";"P+"
"31552";"166815455737163776";;"AGREEMENT";"NONE"
"31553";"166818121150251008";;"AGREEMENT";"P"
"31554";"166818121150251008";"ETT";"AGREEMENT";"P"
"31555";"166818750279065600";;"AGREEMENT";"NEU"
"31556";"166818750279065600";"ATA";"AGREEMENT";"NEU"
"31557";"166819644647288832";;"AGREEMENT";"N+"
"31558";"166820030296760321";;"AGREEMENT";"NEU"
"31559";"166830923600506881";;"DISAGREEMENT";"N"
"31560";"166830923600506881";"Irlanda";"AGREEMENT";"N"
"31561";"166841309766750208";;"DISAGREEMENT";"P"
"31562";"166841309766750208";"PSOE";"DISAGREEMENT";"P"
"31563";"166855164882452481";;"DISAGREEMENT";"P"
"31564";"166855164882452481";"Fraga";"AGREEMENT";"P+"
"31565";"166855164882452481";"IU";"AGREEMENT";"N"
"31566";"166860677162606592";;"AGREEMENT";"N"
"31567";"166863375190601728";;"DISAGREEMENT";"P"
"31568";"166863375190601728";"Báñez";"DISAGREEMENT";"P"
"31569";"166863960992256000";;"AGREEMENT";"NONE"
"31570";"166866595120021504";;"AGREEMENT";"N+"
"31571";"166866595120021504";"España";"AGREEMENT";"N+"
"31572";"166875386427346945";;"DISAGREEMENT";"P"
"31573";"166875386427346945";"@JuanraLucas";"AGREEMENT";"N"
"31574";"166875386427346945";"Pedro_Piqueras";"AGREEMENT";"P"
"31575";"166887718406717440";;"AGREEMENT";"P+"
"31576";"166887718406717440";"@AlejandroSanz";"AGREEMENT";"P+"
"31577";"166890265355878400";;"AGREEMENT";"P+"
"31578";"166890265355878400";"Andalucía";"AGREEMENT";"P+"
"31579";"166892423572754432";;"AGREEMENT";"NEU"
"31580";"166894721648693248";;"AGREEMENT";"P+"
"31581";"166906563758538752";;"AGREEMENT";"P"
"31582";"166906563758538752";"Irene";"DISAGREEMENT";"P"
"31583";"166907817813475328";;"AGREEMENT";"P"
"31584";"166907817813475328";"@elblogsalmon";"DISAGREEMENT";"P"
"31585";"166911810509873152";;"AGREEMENT";"P+"
"31586";"166912419032076290";;"AGREEMENT";"N"
"31587";"166912419032076290";"Pere_Navarro";"AGREEMENT";"N"
"31588";"166915418898968579";;"AGREEMENT";"NONE"
"31589";"166920284891381760";;"AGREEMENT";"P+"
"31590";"166920284891381760";"@NoemiGaleraN";"AGREEMENT";"P+"
"31591";"166920284891381760";"@A3NumeroUno";"AGREEMENT";"P+"
"31592";"166920654178885634";;"AGREEMENT";"P"
"31593";"166920654178885634";"Santa_María_de_la_Huerta";"AGREEMENT";"P"
"31594";"166920654178885634";"Tarazona";"AGREEMENT";"P"
"31595";"166923712485011456";;"AGREEMENT";"NONE"
"31596";"166930557555580928";;"DISAGREEMENT";"NEU"
"31597";"166936722674950146";;"AGREEMENT";"N"
"31598";"166936722674950146";"Rajoy";"AGREEMENT";"N"
"31599";"166936722674950146";"Zp";"AGREEMENT";"N"
"31600";"166936722674950146";"Rb";"AGREEMENT";"N"
"31601";"166946074479689728";;"AGREEMENT";"P+"
"31602";"166946074479689728";"Mandela_day";"AGREEMENT";"P+"
"31603";"166946074479689728";"Simple_Minds";"AGREEMENT";"P+"
"31604";"166948125230108672";;"DISAGREEMENT";"P"
"31605";"166948125230108672";"Fraga";"AGREEMENT";"P+"
"31606";"166948125230108672";"ERC";"AGREEMENT";"N"
"31607";"166948125230108672";"IU";"AGREEMENT";"N"
"31608";"166948125230108672";"BNG";"AGREEMENT";"N"
"31609";"166948125230108672";"Amaiur";"AGREEMENT";"N"
"31610";"166950581200621568";;"DISAGREEMENT";"N"
"31611";"166950581200621568";"@psoe";"AGREEMENT";"N+"
"31612";"166950581200621568";"@ppopular";"AGREEMENT";"P"
"31613";"166954975606476802";;"DISAGREEMENT";"P"
"31614";"166954975606476802";"Contador";"DISAGREEMENT";"P"
"31615";"166957246587207680";;"AGREEMENT";"P"
"31616";"166961057229848576";;"AGREEMENT";"P"
"31617";"166962383863037952";;"DISAGREEMENT";"N"
"31618";"166962383863037952";"Contador";"DISAGREEMENT";"N"
"31619";"166965613762322433";;"DISAGREEMENT";"N"
"31620";"166968739378638848";;"AGREEMENT";"N"
"31621";"166970696155676672";;"AGREEMENT";"P+"
"31622";"166970696155676672";"Andalucía";"AGREEMENT";"P+"
"31623";"166970696155676672";"Museo_de_la_Autonomía";"AGREEMENT";"P+"
"31624";"166970696155676672";"Coria_del_Río";"AGREEMENT";"P+"
"31625";"166970696155676672";"los_periodistas_gráficos_andaluces";"AGREEMENT";"P+"
"31626";"166973116805943296";;"AGREEMENT";"N+"
"31627";"166976636321935361";;"AGREEMENT";"P"
"31628";"166976636321935361";"Carnaval_de_Cádiz";"AGREEMENT";"P"
"31629";"166976636321935361";"@75Minutos";"AGREEMENT";"P"
"31630";"166999323433893888";;"AGREEMENT";"P+"
"31631";"166999323433893888";"TV3";"AGREEMENT";"P+"
"31632";"166999323433893888";"Mestres";"AGREEMENT";"P+"
"31633";"167012942628405248";;"AGREEMENT";"N"
"31634";"167012942628405248";"Mirandés";"AGREEMENT";"N"
"31635";"167012942628405248";"Athletic";"AGREEMENT";"N"
"31636";"167016258703867904";;"AGREEMENT";"N"
"31637";"167025796563742720";;"AGREEMENT";"N"
"31638";"167026403592769537";;"AGREEMENT";"P"
"31639";"167026403592769537";"@AthleticClub";"AGREEMENT";"P"
"31640";"167037773793067008";;"AGREEMENT";"NONE"
"31641";"167133488976363520";;"DISAGREEMENT";"NEU"
"31642";"167133488976363520";"@AthleticClub";"AGREEMENT";"P"
"31643";"167139238796734464";;"AGREEMENT";"N+"
"31644";"167139238796734464";"Merkel";"AGREEMENT";"N+"
"31645";"167139948233891841";;"AGREEMENT";"NONE"
"31646";"167145771119034368";;"DISAGREEMENT";"P"
"31647";"167147580084596736";;"AGREEMENT";"P+"
"31648";"167147580084596736";"@ElPaliquedeLoma";"AGREEMENT";"P+"
"31649";"167158459496804352";;"AGREEMENT";"N"
"31650";"167159090697605120";;"AGREEMENT";"N"
"31651";"167159090697605120";"Rajoy";"AGREEMENT";"N"
"31652";"167162817269600256";;"AGREEMENT";"NEU"
"31653";"167162817269600256";"Rajoy";"AGREEMENT";"NEU"
"31654";"167163558856114176";;"AGREEMENT";"P"
"31655";"167163558856114176";"Rubalcaba";"AGREEMENT";"P"
"31656";"167166134406225920";;"AGREEMENT";"NONE"
"31657";"167167428776837120";;"AGREEMENT";"P+"
"31658";"167167428776837120";"Rajoy";"AGREEMENT";"P+"
"31659";"167169809795125248";;"DISAGREEMENT";"P"
"31660";"167172230646734849";;"AGREEMENT";"N"
"31661";"167172230646734849";"PSOE";"AGREEMENT";"N"
"31662";"167175062351392768";;"AGREEMENT";"NONE"
"31663";"167177523002753024";;"AGREEMENT";"NONE"
"31664";"167177764770816000";;"DISAGREEMENT";"NEU"
"31665";"167177764770816000";"Durán";"AGREEMENT";"P"
"31666";"167177764770816000";"el_presidente";"AGREEMENT";"N"
"31667";"167178373326569472";;"AGREEMENT";"P"
"31668";"167178373326569472";"Rosa_Aguilar";"AGREEMENT";"P"
"31669";"167178373326569472";"Arias_Cañete";"AGREEMENT";"P"
"31670";"167179067613908992";;"AGREEMENT";"NONE"
"31671";"167182760002330625";;"AGREEMENT";"N"
"31672";"167184367062491137";;"AGREEMENT";"N"
"31673";"167184991745355776";;"AGREEMENT";"P"
"31674";"167187391239565313";;"AGREEMENT";"N"
"31675";"167190913150488576";;"AGREEMENT";"P"
"31676";"167192280342601729";;"AGREEMENT";"N+"
"31677";"167192280342601729";"Rajoy";"AGREEMENT";"N+"
"31678";"167194232086466560";;"AGREEMENT";"NONE"
"31679";"167196460625051648";;"AGREEMENT";"NONE"
"31680";"167198992470519808";;"AGREEMENT";"NONE"
"31681";"167200494287192065";;"AGREEMENT";"P"
"31682";"167200494287192065";"MADRID";"AGREEMENT";"P"
"31683";"167200987797393408";;"DISAGREEMENT";"NEU"
"31684";"167200987797393408";"el_diputado";"DISAGREEMENT";"NEU"
"31685";"167205632359923712";;"AGREEMENT";"NONE"
"31686";"167209055566307329";;"DISAGREEMENT";"N"
"31687";"167209055566307329";"Blanco";"AGREEMENT";"N"
"31688";"167211641010794496";;"AGREEMENT";"N+"
"31689";"167211641010794496";"Canal+Francia";"AGREEMENT";"N+"
"31690";"167211641010794496";"España";"AGREEMENT";"N+"
"31691";"167213995885985792";;"AGREEMENT";"NONE"
"31692";"167215558939516928";;"AGREEMENT";"P"
"31693";"167217621513682944";;"DISAGREEMENT";"NEU"
"31694";"167217621513682944";"Cayo";"DISAGREEMENT";"NEU"
"31695";"167218760346902529";;"AGREEMENT";"NEU"
"31696";"167219313042931712";;"DISAGREEMENT";"NEU"
"31697";"167219313042931712";"Rajoy";"DISAGREEMENT";"NEU"
"31698";"167221926408880128";;"AGREEMENT";"P"
"31699";"167221926408880128";"Rubalcaba";"AGREEMENT";"P"
"31700";"167221926408880128";"Rosa_Díez";"AGREEMENT";"P"
"31701";"167223204878884865";;"AGREEMENT";"P+"
"31702";"167223204878884865";"España";"AGREEMENT";"P"
"31703";"167223204878884865";"Socialistas_franceses";"AGREEMENT";"P+"
"31704";"167223204878884865";"socialdemócratas_alemanes";"AGREEMENT";"P+"
"31705";"167224729088966657";;"AGREEMENT";"NONE"
"31706";"167228967173095424";;"AGREEMENT";"P+"
"31707";"167228967173095424";"Tipos_Infames";"AGREEMENT";"P+"
"31708";"167228967173095424";"@AlexdelaIglesia";"AGREEMENT";"P+"
"31709";"167232190441201664";;"AGREEMENT";"P"
"31710";"167232190441201664";"@WMakinaciones";"AGREEMENT";"P"
"31711";"167240129583390720";;"AGREEMENT";"NONE"
"31712";"167253954504294400";;"AGREEMENT";"N+"
"31713";"167253954504294400";"Invercaria";"AGREEMENT";"N+"
"31714";"167263939623780353";;"AGREEMENT";"NONE"
"31715";"167269661363281921";;"AGREEMENT";"P"
"31716";"167269661363281921";"Barcelona";"AGREEMENT";"P"
"31717";"167279040921747457";;"AGREEMENT";"NONE"
"31718";"167286078984822786";;"AGREEMENT";"P+"
"31719";"167286078984822786";"@javiersolana";"AGREEMENT";"P+"
"31720";"167289800863395840";;"DISAGREEMENT";"P"
"31721";"167289800863395840";"UE";"AGREEMENT";"P+"
"31722";"167289800863395840";"Siria";"AGREEMENT";"N"
"31723";"167289800863395840";"Jordania";"AGREEMENT";"N"
"31724";"167289800863395840";"Líbano";"AGREEMENT";"N"
"31725";"167295151973220352";;"AGREEMENT";"P"
"31726";"167301187157229568";;"AGREEMENT";"P"
"31727";"167301187157229568";"Catón";"AGREEMENT";"P"
"31728";"167303149453975552";;"AGREEMENT";"P+"
"31729";"167303149453975552";"@esperanzaona";"AGREEMENT";"P+"
"31730";"167318081461432320";;"DISAGREEMENT";"NEU"
"31731";"167318081461432320";"@esperanzaona";"DISAGREEMENT";"NEU"
"31732";"167321672549007360";;"AGREEMENT";"NEU"
"31733";"167325571594985472";;"AGREEMENT";"P+"
"31734";"167325571594985472";"@Semanaldigital";"AGREEMENT";"P+"
"31735";"167325571594985472";"@JoanaMorillas";"AGREEMENT";"P"
"31736";"167336800904425472";;"DISAGREEMENT";"NEU"
"31737";"167336800904425472";"ETA";"AGREEMENT";"N"
"31738";"167342886000672768";;"AGREEMENT";"NONE"
"31739";"167356275577982976";;"AGREEMENT";"N+"
"31740";"167356275577982976";"Arance";"AGREEMENT";"N+"
"31741";"167357027591524352";;"AGREEMENT";"N"
"31742";"167367485551673344";;"DISAGREEMENT";"N"
"31743";"167367485551673344";"Spinetta";"DISAGREEMENT";"N"
"31744";"167380240291737600";;"AGREEMENT";"N+"
"31745";"167380240291737600";"España";"AGREEMENT";"N+"
"31746";"167382927913656320";;"AGREEMENT";"NEU"
"31747";"167382927913656320";"@CarnavalMLG";"AGREEMENT";"P"
"31748";"167382927913656320";"@malagasana";"AGREEMENT";"P"
"31749";"167384365628801024";;"AGREEMENT";"P+"
"31750";"167384634420772864";;"AGREEMENT";"NONE"
"31751";"167394921723080706";;"AGREEMENT";"P"
"31752";"167412881049141249";;"AGREEMENT";"P+"
"31753";"167412881049141249";"@Isamuga";"AGREEMENT";"P+"
"31754";"167413215725236226";;"AGREEMENT";"NEU"
"31755";"167414179655987200";;"AGREEMENT";"P+"
"31756";"167414179655987200";"@PaulaVazquezTV";"AGREEMENT";"P+"
"31757";"167414578676899840";;"AGREEMENT";"P+"
"31758";"167414578676899840";"@PaulaVazquezTV";"AGREEMENT";"P+"
"31759";"167437451235827712";;"DISAGREEMENT";"NEU"
"31760";"167466410484830210";;"AGREEMENT";"P+"
"31761";"167488787654516736";;"AGREEMENT";"N"
"31762";"167509956302606336";;"AGREEMENT";"NONE"
"31763";"167511952657088512";;"AGREEMENT";"NEU"
"31764";"167511952657088512";"@UPyD";"AGREEMENT";"NEU"
"31765";"167523418642714625";;"DISAGREEMENT";"NEU"
"31766";"167523418642714625";"@G_landaburu";"AGREEMENT";"P+"
"31767";"167523418642714625";"ETA";"AGREEMENT";"N"
"31768";"167525582224101377";;"DISAGREEMENT";"N"
"31769";"167526659895984128";;"AGREEMENT";"NONE"
"31770";"167527614955786240";;"AGREEMENT";"P+"
"31771";"167527614955786240";"Nike";"AGREEMENT";"P+"
"31772";"167529670689046528";;"AGREEMENT";"P"
"31773";"167531941548130304";;"AGREEMENT";"NONE"
"31774";"167538847905886209";;"AGREEMENT";"N"
"31775";"167538847905886209";"Contador";"AGREEMENT";"N"
"31776";"167544497490755584";;"AGREEMENT";"N"
"31777";"167544497490755584";"Carlos";"AGREEMENT";"N"
"31778";"167546207021961217";;"AGREEMENT";"P+"
"31779";"167546207021961217";"@firstFmag";"AGREEMENT";"P+"
"31780";"167546890668355585";;"AGREEMENT";"NONE"
"31781";"167551934088232960";;"AGREEMENT";"P"
"31782";"167551934088232960";"Bucarest";"AGREEMENT";"P"
"31783";"167551934088232960";"Rumania";"AGREEMENT";"P"
"31784";"167553364220051456";;"AGREEMENT";"N+"
"31785";"167554043298844672";;"AGREEMENT";"NONE"
"31786";"167560620659589120";;"AGREEMENT";"NEU"
"31787";"167560620659589120";"Wert";"AGREEMENT";"NEU"
"31788";"167561922584125441";;"AGREEMENT";"NONE"
"31789";"167564805748695040";;"AGREEMENT";"NONE"
"31790";"167573062101897217";;"AGREEMENT";"NONE"
"31791";"167578376188604416";;"AGREEMENT";"NONE"
"31792";"167591461389484032";;"AGREEMENT";"N+"
"31793";"167591461389484032";"PSOE";"AGREEMENT";"N+"
"31794";"167592391451230210";;"AGREEMENT";"N"
"31795";"167592391451230210";"Gregorio_Ordóñez";"AGREEMENT";"N"
"31796";"167592651577769984";;"AGREEMENT";"N"
"31797";"167592651577769984";"Garzón";"AGREEMENT";"N"
"31798";"167593348847239168";;"DISAGREEMENT";"NEU"
"31799";"167593348847239168";"Garzón";"AGREEMENT";"N"
"31800";"167593348847239168";"Camps";"AGREEMENT";"P"
"31801";"167594035043774464";;"AGREEMENT";"N"
"31802";"167594035043774464";"Garzón";"AGREEMENT";"N"
"31803";"167604343095308288";;"AGREEMENT";"N"
"31804";"167605579177672704";;"AGREEMENT";"N"
"31805";"167606155286282240";;"AGREEMENT";"NONE"
"31806";"167606608862523392";;"AGREEMENT";"NONE"
"31807";"167610212222631936";;"AGREEMENT";"NONE"
"31808";"167620068568600576";;"AGREEMENT";"P+"
"31809";"167620068568600576";"PP";"AGREEMENT";"P+"
"31810";"167626539192684544";;"AGREEMENT";"N"
"31811";"167626539192684544";"Garzón";"AGREEMENT";"N"
"31812";"167634009646571520";;"AGREEMENT";"NONE"
"31813";"167640160568217600";;"AGREEMENT";"NEU"
"31814";"167640160568217600";"PSOE";"AGREEMENT";"NEU"
"31815";"167645704595050497";;"AGREEMENT";"NONE"
"31816";"167649311574859776";;"AGREEMENT";"N"
"31817";"167652121347493889";;"DISAGREEMENT";"NEU"
"31818";"167653120942411776";;"DISAGREEMENT";"NEU"
"31819";"167653120942411776";"Zapatero";"DISAGREEMENT";"NEU"
"31820";"167663937557504002";;"AGREEMENT";"NONE"
"31821";"167666928683450370";;"DISAGREEMENT";"P"
"31822";"167666928683450370";"Torres-Dulce";"DISAGREEMENT";"P"
"31823";"167667464971358209";;"DISAGREEMENT";"NEU"
"31824";"167667464971358209";"Garzon";"AGREEMENT";"N"
"31825";"167667464971358209";"El_País";"AGREEMENT";"P"
"31826";"167667502057394176";;"AGREEMENT";"NONE"
"31827";"167670307631546368";;"AGREEMENT";"NONE"
"31828";"167675729063067649";;"AGREEMENT";"NONE"
"31829";"167685198002130944";;"AGREEMENT";"P"
"31830";"167687640404078592";;"AGREEMENT";"N+"
"31831";"167687640404078592";"Guindos";"AGREEMENT";"N+"
"31832";"167691426048647168";;"AGREEMENT";"P"
"31833";"167691426048647168";"Sergio_Dalma";"AGREEMENT";"P"
"31834";"167697389430374401";;"AGREEMENT";"N+"
"31835";"167697389430374401";"Guindos";"AGREEMENT";"N"
"31836";"167705931654766592";;"AGREEMENT";"N+"
"31837";"167705931654766592";"Garzón";"AGREEMENT";"N+"
"31838";"167705931654766592";"Supremo";"AGREEMENT";"N+"
"31839";"167708771680919552";;"AGREEMENT";"P"
"31840";"167710724288811008";;"DISAGREEMENT";"P"
"31841";"167711344869638145";;"DISAGREEMENT";"NEU"
"31842";"167721166037987328";;"AGREEMENT";"N+"
"31843";"167721346216886272";;"AGREEMENT";"NEU"
"31844";"167723317694959616";;"AGREEMENT";"NEU"
"31845";"167723317694959616";"Garzón";"AGREEMENT";"NEU"
"31846";"167729963754201090";;"AGREEMENT";"N"
"31847";"167729963754201090";"Garzón";"AGREEMENT";"N"
"31848";"167729963754201090";"BCN";"AGREEMENT";"N"
"31849";"167736234100264960";;"AGREEMENT";"N+"
"31850";"167736234100264960";"Garzón";"AGREEMENT";"N+"
"31851";"167736234100264960";"España";"AGREEMENT";"N+"
"31852";"167737985352208385";;"AGREEMENT";"N"
"31853";"167745999589216257";;"AGREEMENT";"N"
"31854";"167745999589216257";"Garzón";"AGREEMENT";"N"
"31855";"167750882333696000";;"AGREEMENT";"N"
"31856";"167752143502188544";;"AGREEMENT";"P"
"31857";"167752143502188544";"Erich_Sokol";"AGREEMENT";"P"
"31858";"167754064162078720";;"AGREEMENT";"N"
"31859";"167754064162078720";"Abel";"AGREEMENT";"N"
"31860";"167756685077786624";;"AGREEMENT";"N"
"31861";"167756685077786624";"juanpeña";"AGREEMENT";"N"
"31862";"167762268640116736";;"AGREEMENT";"P"
"31863";"167846234567094272";;"AGREEMENT";"P"
"31864";"167846234567094272";"Comisaría_de_Información";"AGREEMENT";"P"
"31865";"167852723973259264";;"AGREEMENT";"N"
"31866";"167852723973259264";"Al_Shabab";"AGREEMENT";"N"
"31867";"167852723973259264";"Ayman_al_Zawahiri";"AGREEMENT";"N"
"31868";"167852723973259264";"Al_Qaeda";"AGREEMENT";"N"
"31869";"167854143401230336";;"AGREEMENT";"NEU"
"31870";"167854143401230336";"Reguladora_Nuclear_EEUU";"AGREEMENT";"NEU"
"31871";"167859942957649920";;"AGREEMENT";"P"
"31872";"167859942957649920";"Astoria";"AGREEMENT";"P"
"31873";"167861230772551680";;"AGREEMENT";"P"
"31874";"167861230772551680";"Rebecca";"AGREEMENT";"P"
"31875";"167865564893691905";;"AGREEMENT";"P+"
"31876";"167865564893691905";"@ManoloCastillo";"AGREEMENT";"P+"
"31877";"167865564893691905";"@rodrigopdl";"AGREEMENT";"P+"
"31878";"167867596937498624";;"AGREEMENT";"N"
"31879";"167867596937498624";"TS";"AGREEMENT";"N"
"31880";"167870084306567169";;"AGREEMENT";"P"
"31881";"167870084306567169";"UE";"AGREEMENT";"P"
"31882";"167875401635471360";;"AGREEMENT";"N+"
"31883";"167878515868450816";;"AGREEMENT";"NONE"
"31884";"167894531482730496";;"AGREEMENT";"N"
"31885";"167896873095544833";;"DISAGREEMENT";"NEU"
"31886";"167904056151523328";;"AGREEMENT";"P+"
"31887";"167904056151523328";"@colegas";"AGREEMENT";"P+"
"31888";"167904959482957825";;"AGREEMENT";"N+"
"31889";"167904959482957825";"Deporte_Nacional";"AGREEMENT";"N+"
"31890";"167921299073667074";;"AGREEMENT";"P"
"31891";"167925420321288193";;"DISAGREEMENT";"NEU"
"31892";"167926049756299266";;"AGREEMENT";"NEU"
"31893";"167939678358609920";;"AGREEMENT";"P"
"31894";"167945950084608002";;"AGREEMENT";"N"
"31895";"167945950084608002";"Com._de_Madrid";"AGREEMENT";"N"
"31896";"167945950084608002";"Ayto_de_Madrid";"AGREEMENT";"N"
"31897";"167947712669552640";;"AGREEMENT";"NONE"
"31898";"167948588020809728";;"AGREEMENT";"P+"
"31899";"167948588020809728";"Granada";"AGREEMENT";"P+"
"31900";"167948588020809728";"David_Mamet";"AGREEMENT";"P+"
"31901";"167953452822036480";;"AGREEMENT";"N"
"31902";"167958820381925376";;"AGREEMENT";"NONE"
"31903";"167960778232700928";;"AGREEMENT";"P"
"31904";"167962321401020418";;"AGREEMENT";"P"
"31905";"167962321401020418";"Rubalcaba";"AGREEMENT";"P"
"31906";"167962321401020418";"Rajoy";"AGREEMENT";"P"
"31907";"167965638424399873";;"AGREEMENT";"N"
"31908";"167965929106456576";;"AGREEMENT";"N"
"31909";"167966890642259968";;"AGREEMENT";"P"
"31910";"167970336904720384";;"AGREEMENT";"P"
"31911";"167970336904720384";"@FatimaBanez";"AGREEMENT";"P"
"31912";"167970766934122496";;"AGREEMENT";"P"
"31913";"167970766934122496";"@FatimaBanez";"AGREEMENT";"P"
"31914";"167975443838926849";;"DISAGREEMENT";"N"
"31915";"167976147215323137";;"AGREEMENT";"NONE"
"31916";"167980448381812738";;"DISAGREEMENT";"P"
"31917";"167980448381812738";"@pepemadico";"AGREEMENT";"P+"
"31918";"167985164725661696";;"AGREEMENT";"P"
"31919";"167985164725661696";"@alfojea";"AGREEMENT";"P"
"31920";"167989508380442624";;"AGREEMENT";"NONE"
"31921";"168012010011893760";;"AGREEMENT";"N+"
"31922";"168014033704845312";;"DISAGREEMENT";"N"
"31923";"168021562652508161";;"AGREEMENT";"P+"
"31924";"168021562652508161";"Rubalcaba";"AGREEMENT";"P+"
"31925";"168026512648445952";;"AGREEMENT";"P"
"31926";"168030541310992384";;"AGREEMENT";"NONE"
"31927";"168031430948040705";;"AGREEMENT";"P+"
"31928";"168031430948040705";"India";"AGREEMENT";"P+"
"31929";"168036125632512000";;"AGREEMENT";"N"
"31930";"168038001488826371";;"AGREEMENT";"N+"
"31931";"168052585989816320";;"AGREEMENT";"P+"
"31932";"168052624258646016";;"DISAGREEMENT";"P"
"31933";"168052624258646016";"@Buenafuente";"AGREEMENT";"P+"
"31934";"168052847320113152";;"DISAGREEMENT";"NEU"
"31935";"168054384419274752";;"DISAGREEMENT";"NEU"
"31936";"168054851140464640";;"AGREEMENT";"NONE"
"31937";"168057948512321536";;"AGREEMENT";"P"
"31938";"168059958355705857";;"AGREEMENT";"N+"
"31939";"168062896230764544";;"AGREEMENT";"NONE"
"31940";"168074952870866944";;"DISAGREEMENT";"N"
"31941";"168076800554041344";;"AGREEMENT";"P+"
"31942";"168076800554041344";"@mariviromero";"AGREEMENT";"P+"
"31943";"168083976697819136";;"AGREEMENT";"P+"
"31944";"168083976697819136";"José_Mota";"AGREEMENT";"P+"
"31945";"168084088580874240";;"AGREEMENT";"P"
"31946";"168084088580874240";"Bruselas";"AGREEMENT";"P"
"31947";"168084454617788416";;"AGREEMENT";"P"
"31948";"168084736546324480";;"AGREEMENT";"P+"
"31949";"168106956047912961";;"AGREEMENT";"P"
"31950";"168106956047912961";"Jose";"AGREEMENT";"P"
"31951";"168106956047912961";"@hdnegro";"AGREEMENT";"NEU"
"31952";"168112398664876032";;"AGREEMENT";"P+"
"31953";"168112398664876032";"@mariviromero";"AGREEMENT";"P+"
"31954";"168112398664876032";"@mamenpedemonte";"AGREEMENT";"P+"
"31955";"168112398664876032";"@anaroski";"AGREEMENT";"P"
"31956";"168112737354915840";;"AGREEMENT";"P+"
"31957";"168112737354915840";"@PastoraSoler";"AGREEMENT";"P+"
"31958";"168113267322007552";;"AGREEMENT";"N"
"31959";"168113267322007552";"@CarmendelRiego";"AGREEMENT";"N"
"31960";"168117726349500418";;"AGREEMENT";"P"
"31961";"168124945644257280";;"AGREEMENT";"NONE"
